# x, y, omega
# 
700.726772 463.499133 0.025516
702.488084 467.218657 0.025489
705.146880 470.226885 0.025257
708.070468 472.989992 0.024880
711.554795 475.582110 0.024197
715.681168 476.826844 0.023293
719.896877 477.938424 0.021992
724.206544 477.714952 0.020515
728.241812 477.123753 0.018677
731.608285 474.885611 0.017038
735.143908 472.438421 0.014724
736.952483 468.457564 0.013225
739.220855 464.910945 0.011453
740.474221 460.744696 0.009881
740.896886 455.696323 0.008583
741.448899 451.306804 0.007972
742.124157 446.786334 0.007095
742.288400 442.675081 0.006441
742.310723 438.316219 0.005900
742.035035 433.846197 0.005468
741.446874 429.312330 0.005152
740.865146 425.339139 0.004974
740.618284 420.606106 0.004879
740.410235 416.189406 0.004826
740.242162 411.724997 0.004766
740.120635 407.428926 0.004731
739.563293 403.139126 0.004724
738.610242 398.971798 0.004807
737.362687 394.706449 0.005013
735.707856 390.951558 0.005320
733.997773 387.001855 0.005717
732.710843 383.033858 0.006148
730.267127 379.613534 0.006864
727.102719 376.758218 0.007673
723.365802 374.530541 0.008589
719.243566 372.959712 0.009594
715.249910 371.050778 0.010806
710.795692 370.875478 0.012009
706.461646 371.186301 0.013161
701.518548 372.044915 0.014475
697.538856 372.606895 0.015654
693.280895 374.377244 0.016939
688.628564 376.711969 0.018330
684.908833 378.954629 0.019447
681.040073 381.736256 0.020633
677.554978 384.320983 0.021886
673.830321 388.291434 0.023198
670.074571 392.793527 0.024562
667.583158 396.113287 0.025497
665.126255 399.702861 0.026453
663.047143 403.174629 0.027426
661.042258 407.306319 0.028408
659.149163 411.697572 0.029393
657.397225 416.350396 0.030376
655.817666 421.263785 0.031354
654.443279 426.433198 0.032321
653.786935 431.367475 0.033270
653.218318 436.952119 0.034189
652.948296 442.706544 0.035070
653.004987 448.605691 0.035906
653.743367 454.089464 0.036690
654.769840 460.219084 0.037409
656.193819 466.348955 0.038052
658.023092 472.435108 0.038612
660.574053 477.841373 0.039081
663.449155 483.746499 0.039448
666.719052 489.424898 0.039703
670.357679 494.830105 0.039840
674.607831 499.273957 0.039856
679.116595 504.064915 0.039745
683.883296 508.428155 0.039500
688.851780 512.339341 0.039122
694.187775 515.096056 0.038615
699.667196 518.030953 0.037977
705.231332 520.464036 0.037210
710.751282 522.384315 0.036320
716.343468 523.108668 0.035316
721.858360 524.159373 0.034204
727.178926 524.747330 0.032992
732.260211 524.914284 0.031692
737.065708 524.705654 0.030318
741.674878 523.461255 0.028881
746.129035 522.732107 0.027391
750.257447 521.737148 0.025857
755.820504 519.847621 0.023500
760.626370 517.609951 0.021114
764.697119 515.151379 0.018734
768.415909 511.984550 0.016389
771.619164 509.483525 0.014090
775.013218 506.157347 0.011137
777.532456 502.951442 0.008350
779.663712 499.224275 0.005143
781.061339 495.240810 0.001741
781.564637 491.262020 -0.001600
781.144879 487.035876 -0.004957
779.965859 482.839266 -0.007837
778.687630 478.716207 -0.009695
776.726563 475.169639 -0.010536
774.246396 471.730930 -0.011072
772.447144 467.567247 -0.011147
770.907177 463.812508 -0.011046
769.260113 460.083233 -0.010719
768.693716 455.773136 -0.010299
768.197249 451.625494 -0.010129
767.785340 447.582159 -0.009800
768.338652 443.486131 -0.009566
769.273367 439.511626 -0.009512
769.763169 435.220828 -0.009572
770.892397 431.231017 -0.009748
772.639677 427.630542 -0.010059
774.434570 424.013419 -0.010577
777.814108 421.637971 -0.011392
780.991369 419.182095 -0.012359
785.278267 418.994075 -0.013783
789.337962 419.225103 -0.015360
793.113556 421.300066 -0.016941
796.583020 423.510578 -0.018501
799.173543 426.799775 -0.019760
801.785697 430.625108 -0.021232
803.352113 434.878824 -0.022311
804.548978 438.776748 -0.023172
804.872256 443.032347 -0.024130
805.006333 447.566896 -0.024825
804.372343 451.784333 -0.025412
803.231929 456.539563 -0.025844
801.541703 460.615965 -0.026110
799.060238 464.374356 -0.026187
